artists,type,sex,album_name,artists,won,num_of_tracks,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Beck,Person,Male,Morning Phase,Beck,True,13,0.45346923076923074,0.3999230769230768,4.846153846153846,-9.843461538461538,0.9230769230769231,0.0303,0.4302076923076923,0.2147397692307692,0.12515384615384617,0.22060769230769234,120.37907692307694,217464.61538461538
Beyonce,Person,Female,Beyoncé,Beyoncé,False,20,0.5627,0.5535500000000001,4.55,-8.524350000000002,0.65,0.13863,0.1933535,0.005366991999999999,0.26921,0.37438499999999997,121.73674999999999,280558.7
Pharrell Williams,Person,Male,G I R L,Pharrell Williams,False,11,0.778090909090909,0.6894545454545454,5.636363636363637,-6.965090909090909,0.36363636363636365,0.12566363636363637,0.17445454545454545,0.01392609909090909,0.11931818181818182,0.6779999999999999,124.38109090909091,277154.0
Sam Smith,Person,Non-binary,In the Lonely Hour,Sam Smith,False,10,0.5479,0.42860000000000004,3.3,-8.1084,0.6,0.05517999999999999,0.6087999999999999,0.000351641,0.14502,0.3394,101.89680000000001,197062.8
Ed Sheeran,Person,Male,x,Ed Sheeran,False,16,0.684875,0.48030625000000005,5.0,-8.660937500000001,0.625,0.06613125,0.45308125000000005,7.851375e-05,0.183975,0.55925,102.86812499999999,247373.875
Taylor Swift,Person,Female,1989,Taylor Swift,True,13,0.6493846153846154,0.6990769230769232,4.6923076923076925,-6.237384615384615,1.0,0.06630000000000001,0.11304076923076925,0.0009589569230769231,0.15457692307692308,0.4625999999999999,124.0893076923077,225220.46153846153
The Weeknd,Person,Male,Beauty Behind the Madness,The Weeknd,False,14,0.5632857142857143,0.5205,4.785714285714286,-8.530857142857142,0.21428571428571427,0.048935714285714284,0.21787142857142863,0.0005261642857142858,0.16828571428571432,0.29836428571428575,119.25557142857143,279485.64285714284
Alabama Shakes,Group,Mixed,Sound & Color,Alabama Shakes,False,19,0.4518947368421053,0.6113684210526314,7.2105263157894735,-5.964684210526316,0.5789473684210527,0.0653578947368421,0.4605175789473684,0.19125368421052633,0.14763157894736842,0.40307894736842104,120.26989473684209,227586.73684210525
Kendrick Lamar,Person,Male,To Pimp a Butterfly,Kendrick Lamar,False,16,0.59075,0.7076250000000001,5.875,-5.8020625,0.5,0.29417499999999996,0.32288875,1.0789375e-05,0.31841875,0.4871875,103.4445625,296225.75
Chris Stapleton,Person,Male,Traveller,Chris Stapleton,False,14,0.5441428571428572,0.4445357142857142,4.357142857142857,-10.384214285714288,0.8571428571428571,0.03300714285714286,0.28953357142857145,0.04896702714285715,0.16071428571428573,0.4325714285714285,113.69414285714286,270493.21428571426
Adele,Person,Female,25,Adele,True,11,0.4964545454545455,0.5000909090909091,3.727272727272727,-6.171818181818182,0.5454545454545454,0.042763636363636365,0.3686927272727273,2.2772727272727273e-06,0.14803636363636363,0.29554545454545456,123.06772727272727,264172.9090909091
Beyonce,Person,Female,Lemonade,Beyoncé,False,13,0.5343846153846153,0.486,5.923076923076923,-9.684461538461537,0.6153846153846154,0.14319230769230767,0.37818230769230776,0.05929646,0.25702307692307697,0.39903076923076924,124.16899999999997,227179.53846153847
Justin Bieber,Person,Male,Purpose,Justin Bieber,False,19,0.5850526315789474,0.5962631578947368,5.105263157894737,-7.121052631578946,0.3157894736842105,0.1176894736842105,0.33576842105263155,8.125894736842104e-05,0.16693157894736843,0.46783684210526316,116.2737368421053,220374.36842105264
Sturgill Simpson,Person,Male,A Sailor's Guide to Earth,Sturgill Simpson,False,9,0.45722222222222225,0.5861111111111111,4.666666666666667,-7.576888888888888,0.6666666666666666,0.042811111111111105,0.24008555555555555,0.13980601,0.24186666666666667,0.44122222222222224,107.19533333333332,259367.44444444444
Drake,Person,Male,Views,Drake,False,20,0.6719499999999999,0.5232000000000001,4.15,-8.92755,0.7,0.15727999999999998,0.11878365000000002,0.0002678585,0.20779999999999998,0.272215,117.38340000000001,243774.65
Bruno Mars,Person,Male,24K Magic,Bruno Mars,True,9,0.6905555555555556,0.6903333333333334,3.111111111111111,-5.385222222222222,0.5555555555555556,0.06698888888888888,0.042789999999999995,7.864444444444444e-06,0.13526666666666667,0.6958888888888889,136.3101111111111,223559.55555555556
Childish Gambino,Person,Male,"""Awaken, My Love!""",Childish Gambino,False,11,0.6293636363636363,0.47881818181818186,3.1818181818181817,-10.568545454545456,0.6363636363636364,0.10787272727272729,0.30171754545454543,0.1425763818181818,0.18852727272727277,0.48736363636363644,126.93790909090912,267442.36363636365
Kendrick Lamar,Person,Male,DAMN.,Kendrick Lamar,False,14,0.6629999999999999,0.5848571428571429,3.5714285714285716,-7.863857142857143,0.5714285714285714,0.2757285714285715,0.17544442857142856,0.006141779285714286,0.2230714285714286,0.47992857142857137,136.75185714285718,235783.7857142857
